pmkAthleteID,fldName,fldSex,fldAge,fldHeight,fldWeight,fpkNationality,fldYear,fldCity,fpkSport,fldEvent
14930,Sebastian Brendel,M,28,192,92,GER,2016,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
14972,Julie Bresset,F,23,167,53,FRA,2012,London,Cycling,"Cycling Women's Mountainbike, Cross-Country"
15128,Julius Brink,M,30,186,85,GER,2012,London,Beach Volleyball,Beach Volleyball Men's Beach Volleyball
15182,Matthew Brittain,M,25,186,70,RSA,2012,London,Rowing,Rowing Men's Lightweight Coxless Fours
15406,Kristina Brring-Sprehe,F,29,168,54,GER,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Dressage, Team"
15488,Christopher Deon Chris Brown,M,33,178,75,BAH,2012,London,Athletics,Athletics Men's 4 x 400 metres Relay
15627,Alistair Edward Brownlee,M,24,184,70,GBR,2012,London,Triathlon,Triathlon Men's Olympic Distance
15627,Alistair Edward Brownlee,M,28,184,70,GBR,2016,Rio de Janeiro,Triathlon,Triathlon Men's Olympic Distance
15770,Manuel Brunet,M,30,179,79,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey
15791,Bruno Bruninho Mossa de Rezende,M,30,190,76,BRA,2016,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball
15880,Robert Charles Bob Bryan,M,34,193,92,USA,2012,London,Tennis,Tennis Men's Doubles
15882,Michael Carl Mike Bryan,M,34,191,87,USA,2012,London,Tennis,Tennis Men's Doubles
15891,Kobe Bean Bryant,M,33,198,100,USA,2012,London,Basketball,Basketball Men's Basketball
16173,Rachel Marie Buehler (-Van Hollebeke),F,26,165,65,USA,2012,London,Football,Football Women's Football
16359,Ivan Buljubai,M,24,198,108,CRO,2012,London,Water Polo,Water Polo Men's Water Polo
16584,Damir Buri,M,31,205,115,CRO,2012,London,Water Polo,Water Polo Men's Water Polo
16614,Steven James Burke,M,24,183,78,GBR,2012,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
